Genus   Abundance   Accession   Label   Data    wrap    Taxonomy
Klebsiella  9.57280469905745    Reference   1   A   Genus-level Classification  Genus-level
Parabacteroides 7.43104049686429    Reference   2   A   Genus-level Classification  Genus-level
Ruminococcus    5.55490416290727    Reference   3   A   Genus-level Classification  Genus-level
Clostridium 5.48635198781287    Reference   4   A   Genus-level Classification  Genus-level
Haemophilus 5.36944076683173    Reference   5   A   Genus-level Classification  Genus-level
Enterococcus    4.9507560907664 Reference   6   A   Genus-level Classification  Genus-level
Escherichia 4.18684676065324    Reference   7   A   Genus-level Classification  Genus-level
Corynebacterium 4.07053670164461    Reference   8   A   Genus-level Classification  Genus-level
Bacteroides 3.98790156821065    Reference   9   A   Genus-level Classification  Genus-level
Streptococcus   3.92974653870634    Reference   10  A   Genus-level Classification  Genus-level
Neisseria   3.48108260493009    Reference   11  A   Genus-level Classification  Genus-level
Bacillus    3.08871108405483    Reference   12  A   Genus-level Classification  Genus-level
Lacrimispora    2.65840669654436    Reference   13  A   Genus-level Classification  Genus-level
Porphyromonas   2.6124922506863 Reference   14  A   Genus-level Classification  Genus-level
Eubacterium 2.51394110765237    Reference   15  A   Genus-level Classification  Genus-level
Leuconostoc 2.50231157231196    Reference   16  A   Genus-level Classification  Genus-level
Paenibacillus   2.42579696532283    Reference   17  A   Genus-level Classification  Genus-level
Lachnoclostridium   2.22625061090774    Reference   18  A   Genus-level Classification  Genus-level
Desulfovibrio   1.79593689996441    Reference   19  A   Genus-level Classification  Genus-level
Citrobacter 1.74818887116448    Reference   20  A   Genus-level Classification  Genus-level
Alistipes   1.67350681497337    Reference   21  A   Genus-level Classification  Genus-level
Roseburia   1.58475165555701    Reference   22  A   Genus-level Classification  Genus-level
Atopobium   1.55782748328015    Reference   23  A   Genus-level Classification  Genus-level
Thermoanaerobacterium   1.50824640321978    Reference   24  A   Genus-level Classification  Genus-level
Coprococcus 1.18014993783125    Reference   25  A   Genus-level Classification  Genus-level
Enterobacter    1.12505984887528    Reference   26  A   Genus-level Classification  Genus-level
Acholeplasma    0.991621601207346   Reference   27  A   Genus-level Classification  Genus-level
