Species,Abundance,Accession,label,Data,Taxonomy,wrap,Presence
Ruminococcus sp. ,3.83531412844147,Reference,1,A,Species-level,Species-level Classification,Present
Klebsiella pneumoniae ,3.64891483599685,Reference,2,A,Species-level,Species-level Classification,Present
Paenibacillus macerans,3.37313926173163,Reference,3,A,Species-level,Species-level Classification,Present
Klebsiella aerogenes ,3.36292991951201,Reference,4,A,Species-level,Species-level Classification,Present
Klebsiella variicola,3.30419536816533,Reference,5,A,Species-level,Species-level Classification,Present
Enterococcus pallens,3.08034354916203,Reference,6,A,Species-level,Species-level Classification,Present
Parabacteroides merdae ,2.87351186846311,Reference,7,A,Species-level,Species-level Classification,Present
Haemophilus aegyptius ,2.78328595010879,Reference,8,A,Species-level,Species-level Classification,Present
Citrobacter sp. ,2.43090604965879,Reference,9,A,Species-level,Species-level Classification,Present
Parabacteroides distasonis,2.35005354080544,Reference,10,A,Species-level,Species-level Classification,Present
Haemophilus parainfluenzae ,2.34409238125439,Reference,11,A,Species-level,Species-level Classification,Present
Haemophilus pittmaniae ,2.33898085823705,Reference,12,A,Species-level,Species-level Classification,Present
Klebsiella sp. KTE92,2.27173623773817,Reference,13,A,Species-level,Species-level Classification,Present
Roseburia intestinalis,2.20364198070558,Reference,14,A,Species-level,Species-level Classification,Present
Thermoanaerobacterium xylanolyticum ,2.09725926439565,Reference,15,A,Species-level,Species-level Classification,Present
Neisseria mucosa ,2.0615060109044,Reference,16,A,Species-level,Species-level Classification,Present
Neisseria meningitidis,2.05980673783697,Reference,17,A,Species-level,Species-level Classification,Present
Streptococcus oralis ,1.9244678603055,Reference,18,A,Species-level,Species-level Classification,Present
Eubacterium limosum,1.85126208025557,Reference,19,A,Species-level,Species-level Classification,Present
Leuconostoc lactis,1.81637216711309,Reference,20,A,Species-level,Species-level Classification,Present
Porphyromonas cangingivalis,1.72529661222506,Reference,21,A,Species-level,Species-level Classification,Present
Corynebacterium falsenii ,1.70316495090334,Reference,22,A,Species-level,Species-level Classification,Present
Leuconostoc mesenteroides,1.66316351474352,Reference,23,A,Species-level,Species-level Classification,Present
Ruminococcus bicirculans,1.64188148995551,Reference,24,A,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) symbiosum,1.59591889424464,Reference,25,A,Species-level,Species-level Classification,Present
Bacillus sp. ,1.58910809815988,Reference,26,A,Species-level,Species-level Classification,Present
Ruminococcus albus,1.5840102789576,Reference,27,A,Species-level,Species-level Classification,Present
Corynebacterium camporealensis,1.56612680030444,Reference,28,A,Species-level,Species-level Classification,Present
Enterococcus villorum ,1.55591745808483,Reference,29,A,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) scindens,1.49974552015434,Reference,30,A,Species-level,Species-level Classification,Present
Desulfovibrio sp. ,1.45718147057832,Reference,31,A,Species-level,Species-level Classification,Present
Porphyromonas gingivalis,1.44952103795984,Reference,32,A,Species-level,Species-level Classification,Present
Corynebacterium halotolerans,1.43250089965546,Reference,33,A,Species-level,Species-level Classification,Present
Parabacteroides sp. HGS0025,1.39078648661315,Reference,34,A,Species-level,Species-level Classification,Present
Atopobium sp. ,1.38398939434345,Reference,35,A,Species-level,Species-level Classification,Present
Barnesiella intestinihominis,1.27844261075218,Reference,36,A,Species-level,Species-level Classification,Present
Eubacterium sp.,1.08012099920545,Reference,37,B,Species-level,Species-level Classification,Present
Corynebacterium accolens ,0.958403713843512,Reference,38,A,Species-level,Species-level Classification,Present
Enterobacter asburiae,0.879250478057588,Reference,39,A,Species-level,Species-level Classification,Present
Propionibacterium acidifaciens ,0.878400841523875,Reference,40,A,Species-level,Species-level Classification,Present
Acholeplasma palmae,0.840948314965197,Reference,41,A,Species-level,Species-level Classification,Present
Desulfohalovibrio reitneri ,0.836686428481571,Reference,42,B,Species-level,Species-level Classification,Present
Oceanobacillus massiliensis,0.800933174990318,Reference,43,A,Species-level,Species-level Classification,Present
Atopobium minutum,0.782213763618509,Reference,44,A,Species-level,Species-level Classification,Present
Erysipelatoclostridium ramosum,0.766043261847839,Reference,45,A,Species-level,Species-level Classification,Present
Alistipes communis,0.753271306212022,Reference,46,A,Species-level,Species-level Classification,Present
Bacillus sp. JCM 19059     ,0.751572033144595,Reference,47,A,Species-level,Species-level Classification,Present
Parabacteroides sp.,0.746460510127256,Reference,48,A,Species-level,Species-level Classification,Present
Megasphaera sp.,0.724328848805534,Reference,49,A,Species-level,Species-level Classification,Present
Klebsiella sp. AS10 ,0.723479212271821,Reference,50,A,Species-level,Species-level Classification,Present
Neisseria macacae ,0.719231029603255,Reference,51,A,Species-level,Species-level Classification,Present
Ruminococcus flavefaciens ,0.663045387857707,Reference,52,A,Species-level,Species-level Classification,Present
Veillonella sp.,0.659646841722855,Reference,53,A,Species-level,Species-level Classification,Present
Bifidobacterium asteroides,0.657947568655428,Reference,54,A,Species-level,Species-level Classification,Present
Bacteroides salyersiae,0.638364816934846,Reference,55,A,Species-level,Species-level Classification,Present
Ligilactobacillus agilis ,0.58559142513921,Reference,56,A,Species-level,Species-level Classification,Present
Megasphaera micronuciformis,0.584741788605497,Reference,57,A,Species-level,Species-level Classification,Present
Desulfovibrio brasiliensis,0.574532446385879,Reference,58,A,Species-level,Species-level Classification,Present
Bacteroides acidifaciens,0.56942092336854,Reference,59,A,Species-level,Species-level Classification,Present
Bacteroides intestinalis,0.549851875463018,Reference,60,A,Species-level,Species-level Classification,Present
Acholeplasma modicum,0.537929556360914,Reference,61,A,Species-level,Species-level Classification,Present
Bacteroides xylanisolvens,0.535380646759774,Reference,62,A,Species-level,Species-level Classification,Present
Enterocloster citroniae ,0.52345832765767,Reference,63,A,Species-level,Species-level Classification,Present
Sporobacter termitidis ,0.519210144989104,Reference,64,A,Species-level,Species-level Classification,Present
