"Species","Abundance","label","Accession","Data","Taxonomy","wrap","Presence"
"Ruminococcus sp. ","3,83531412844147",1,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella pneumoniae ","3,64891483599685",2,"Reference","A","Species-level","Species-level Classification","Present"
"Paenibacillus macerans","3,37313926173163",3,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella aerogenes ","3,36292991951201",4,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella variicola","3,30419536816533",5,"Reference","A","Species-level","Species-level Classification","Present"
"Enterococcus pallens","3,08034354916203",6,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides merdae ","2,87351186846311",7,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus aegyptius ","2,78328595010879",8,"Reference","A","Species-level","Species-level Classification","Present"
"Citrobacter sp. ","2,43090604965879",9,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides distasonis","2,35005354080544",10,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus parainfluenzae ","2,34409238125439",11,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus pittmaniae ","2,33898085823705",12,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella sp. KTE92","2,27173623773817",13,"Reference","A","Species-level","Species-level Classification","Present"
"Roseburia intestinalis","2,20364198070558",14,"Reference","A","Species-level","Species-level Classification","Present"
"Thermoanaerobacterium xylanolyticum ","2,09725926439565",15,"Reference","A","Species-level","Species-level Classification","Present"
"Neisseria mucosa ","2,0615060109044",16,"Reference","A","Species-level","Species-level Classification","Present"
"Neisseria meningitidis","2,05980673783697",17,"Reference","A","Species-level","Species-level Classification","Present"
"Streptococcus oralis ","1,9244678603055",18,"Reference","A","Species-level","Species-level Classification","Present"
"Eubacterium limosum","1,85126208025557",19,"Reference","A","Species-level","Species-level Classification","Present"
"Leuconostoc lactis","1,81637216711309",20,"Reference","A","Species-level","Species-level Classification","Present"
"Porphyromonas cangingivalis","1,72529661222506",21,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium falsenii ","1,70316495090334",22,"Reference","A","Species-level","Species-level Classification","Present"
"Leuconostoc mesenteroides","1,66316351474352",23,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus bicirculans","1,64188148995551",24,"Reference","A","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) symbiosum","1,59591889424464",25,"Reference","A","Species-level","Species-level Classification","Present"
"Bacillus sp. ","1,58910809815988",26,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus albus","1,5840102789576",27,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium camporealensis","1,56612680030444",28,"Reference","A","Species-level","Species-level Classification","Present"
"Enterococcus villorum ","1,55591745808483",29,"Reference","A","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) scindens","1,49974552015434",30,"Reference","A","Species-level","Species-level Classification","Present"
"Desulfovibrio sp. ","1,45718147057832",31,"Reference","A","Species-level","Species-level Classification","Present"
"Porphyromonas gingivalis","1,44952103795984",32,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium halotolerans","1,43250089965546",33,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides sp. HGS0025","1,39078648661315",34,"Reference","A","Species-level","Species-level Classification","Present"
"Atopobium sp. ","1,38398939434345",35,"Reference","A","Species-level","Species-level Classification","Present"
"Barnesiella intestinihominis","1,27844261075218",36,"Reference","A","Species-level","Species-level Classification","Present"
